rel	query_id	entity	inlink	outlink	pg_count
0	SemSearch_LS-2	Al_Bin_Ali	15	16	6729
0	SemSearch_LS-2	Tanbūra_(lyre)	22	22	991
0	SemSearch_LS-2	Enlargement_of_the_Arab_League	60	5	8686
0	SemSearch_LS-2	Al_Thawawida	16	5	1600
0	SemSearch_LS-2	1988_Gulf_Club_Champions_Cup	14	6	507
0	SemSearch_LS-2	Emirates_Scout_Association	17	6	1304
0	SemSearch_LS-2	Fann_at-Tanbura	21	16	1794
0	SemSearch_LS-2	Kerala_Gulf_diaspora	36	17	12753
0	SemSearch_LS-2	Manjur_(instrument)	16	10	2217
0	SemSearch_LS-2	Irreligion_in_the_Middle_East	13	1	2929
0	SemSearch_LS-2	Al_Mannai	11	1	1303
0	SemSearch_LS-2	Essa_Obaid_(bodybuilder)	15	4	9514
0	SemSearch_LS-2	2015–16_GCC_Champions_League	30	9	308
0	SemSearch_LS-2	Rugby_union_in_Bahrain	11	1	1001
0	SemSearch_LS-2	1987_Gulf_Club_Champions_Cup	13	4	558
0	SemSearch_LS-2	List_of_the_busiest_airports_in_the_Arab_states_of_Persian_Gulf	25	2	9858
0	SemSearch_LS-2	Gulf_Arabic	57	84	27476
0	SemSearch_LS-2	Trucial_States	45	183	65056
0	SemSearch_LS-2	Bahrain–United_Arab_Emirates_relations	12	9	1301
0	SemSearch_LS-2	Emirati_diaspora	31	11	7749
0	SemSearch_LS-2	Al-Faw_Peninsula	40	74	10468
0	SemSearch_LS-2	Dhaid	9	10	3952
0	SemSearch_LS-2	Persian_Gulf	169	3556	272790
0	SemSearch_LS-2	Tourism_in_Bahrain	53	5	10133
0	SemSearch_LS-2	Filipino_Monkey	19	5	3261
0	SemSearch_LS-2	2009–10_Gulf_Club_Champions_Cup	22	27	256
0	SemSearch_LS-2	Foreign_relations_of_Oman	54	13	10424
2	SemSearch_LS-2	Arab_states_of_the_Persian_Gulf	50	566	114986
0	SemSearch_LS-2	Al_Jalahma	20	12	1999
0	SemSearch_LS-2	Bedoon_(ethnicity)	21	39	15763
0	SemSearch_LS-2	Gulf_Cup_of_Nations_Under_23	16	29	1218
0	SemSearch_LS-2	Persian_Gulf_naming_dispute	103	28	27627
0	SemSearch_LS-2	Culture_of_Eastern_Arabia	60	26	6241
0	SemSearch_LS-2	Hinduism_in_Arab_states	48	59	35523
0	SemSearch_LS-2	Musandam_Governorate	39	87	34070
0	SemSearch_LS-2	Gulf_Cooperation_Council	122	641	372197
0	SemSearch_LS-2	Hola_(ethnic_group)	27	38	4513
0	SemSearch_LS-2	Orient_Research_Centre	6	1	808
0	SemSearch_LS-2	Khabees	7	4	5038
0	SemSearch_LS-2	Demographics_of_the_Arab_League	193	11	22559
0	SemSearch_LS-2	Gulf_Cup_of_Nations	96	185	17404
0	SemSearch_LS-2	Strait_of_Hormuz	101	302	110372
0	SemSearch_LS-2	Rugby_union_in_Kuwait	9	0	784
0	SemSearch_LS-2	Ajman	15	230	68942
0	SemSearch_LS-2	Federal_Customs_Authority	27	0	1777
0	SemSearch_LS-2	Persian_Gulf_Residency	76	33	7465
0	SemSearch_LS-2	Ethnic,_cultural_and_religious_groups_of_Bahrain	20	3	4030
0	SemSearch_LS-2	Popular_Front_for_the_Liberation_of_the_Occupied_Arabian_Gulf	27	30	4887
0	SemSearch_LS-2	Khaliji_(music)	14	30	6884
0	SemSearch_LS-2	Gulf_Railway	17	7	9634
0	SemSearch_LS-2	Member_states_of_the_Cooperation_Council_for_the_Arab_States_of_the_Gulf	17	2	6816
0	SemSearch_LS-2	Khaleeji_(currency)	34	10	11302
0	SemSearch_LS-2	Arabian_Gulf_Rugby_Football_Union	29	19	2044
0	SemSearch_LS-2	Banu_Hammed	6	1	411
0	SemSearch_LS-2	Gargee'an	31	6	1457
0	SemSearch_LS-2	Environmental_impact_of_Gulf_wars	97	2	5813
0	SemSearch_LS-2	Arab_League–Iran_relations	191	33	7385
0	SemSearch_LS-2	Hawk_of_Quraish	20	14	9672
0	SemSearch_LS-2	Dhow	91	242	76805
0	SemSearch_LS-2	Aljazeera_Publishing	29	5	2989
0	SemSearch_LS-2	Showaiter	9	1	947
0	SemSearch_LS-2	History_of_the_United_Arab_Emirates	104	15	83865
0	SemSearch_LS-2	Mogaveera	25	31	6267
0	SemSearch_LS-2	United_Arab_Emirates_national_rugby_union_team	11	39	3715
0	SemSearch_LS-2	1989_Gulf_Club_Champions_Cup	14	5	565
0	SemSearch_LS-2	Islamic_television_networks	26	0	580
0	SemSearch_LS-2	Foundation_of_Abdulaziz_Saud_Al-Babtain's_Prize_for_Poetic_Creativity	48	0	254
0	SemSearch_LS-2	Arabian_Gulf_University	55	28	8290
0	SemSearch_LS-2	Matowa	13	2	4093
0	SemSearch_LS-2	Gulf_rupee	34	18	13937
0	SemSearch_LS-2	Higher_Education_in_the_Arab_World	17	0	2509
0	SemSearch_LS-2	Al_Nuaim	24	28	4143
0	SemSearch_LS-2	Ghada_Jamshir	23	7	1450
0	SemSearch_LS-2	Liwa_(music)	35	25	4465
0	SemSearch_LS-2	Jashanmal	13	6	5816
0	SemSearch_LS-3	Johnny_Apollo_(toy)	23	2	794
0	SemSearch_LS-3	Judith_Resnik	77	78	102763
0	SemSearch_LS-3	AiT/Planet_Lar	46	37	3257
0	SemSearch_LS-3	Emory_(crater)	11	6	357
0	SemSearch_LS-3	Constellation_program	122	161	93483
0	SemSearch_LS-3	Bill_Kaysing	84	10	12674
0	SemSearch_LS-3	Ice_(Johnson_novel)	62	11	1902
0	SemSearch_LS-3	Hess-Apollo_(crater)	14	4	266
0	SemSearch_LS-3	Bowen-Apollo_(crater)	13	3	309
0	SemSearch_LS-3	International_Lunar_Network	25	5	10787
0	SemSearch_LS-3	Gordon_Cooper	237	177	218232
0	SemSearch_LS-3	The_Ego_Has_Landed	40	16	14435
0	SemSearch_LS-3	List_of_Apollo_astronauts	129	86	249301
0	SemSearch_LS-3	Huygens_(spacecraft)	121	102	75271
0	SemSearch_LS-3	Furnerius_(crater)	19	6	708
0	SemSearch_LS-3	The_Dry_Salvages_(novella)	35	4	681
0	SemSearch_LS-3	Apollo_17	169	392	352647
0	SemSearch_LS-3	Harrison_Schmitt	119	190	81845
0	SemSearch_LS-3	Henry_(Apollo_lunar_crater)	14	4	347
0	SemSearch_LS-3	Apollo_16	157	267	110628
0	SemSearch_LS-3	Moon	461	6161	1344159
0	SemSearch_LS-3	Moontrap	41	20	15908
0	SemSearch_LS-3	Apollon_XI	32	2	656
0	SemSearch_LS-3	Apollo_13	199	344	855380
0	SemSearch_LS-3	List_of_lunar_probes	173	5	19247
0	SemSearch_LS-3	Apollo_15	157	400	130413
0	SemSearch_LS-3	Cochise_(crater)	16	6	516
0	SemSearch_LS-3	Apollo_11_in_popular_culture	86	5	14652
0	SemSearch_LS-3	Magnificent_Desolation:_Walking_on_the_Moon_3D	66	32	18249
0	SemSearch_LS-3	Charles_Bassett	92	54	19761
0	SemSearch_LS-3	Honeysuckle_Creek_Tracking_Station	29	26	8775
0	SemSearch_LS-3	Craters_of_the_Moon_National_Wilderness	31	4	1206
0	SemSearch_LS-3	NASA_Astronaut_Group_4	28	19	10887
0	SemSearch_LS-3	Horatio_(crater)	12	6	393
0	SemSearch_LS-3	North_Ray_(crater)	28	6	959
0	SemSearch_LS-3	Laurel_Clark	85	51	41506
0	SemSearch_LS-3	Cosmos_(Transformers)	82	54	4402
0	SemSearch_LS-3	Little_West_Crater	9	1	464
0	SemSearch_LS-3	Apollo_insurance_covers	7	2	29816
0	SemSearch_LS-3	South_Ray_(crater)	18	6	761
0	SemSearch_LS-3	Lisa_Nowak	127	44	93164
0	SemSearch_LS-3	Chaffee_(crater)	14	6	506
0	SemSearch_LS-3	Luna_Park,_Coney_Island_(1903)	43	56	25447
0	SemSearch_LS-3	Apollo_11	237	943	1234838
0	SemSearch_LS-3	Gus_Grissom	283	249	393795
0	SemSearch_LS-3	Outline_of_space_exploration	163	10	5628
0	SemSearch_LS-3	Lunar_Roving_Vehicle	124	80	89998
0	SemSearch_LS-3	Surveyor_1	57	39	23792
0	SemSearch_LS-3	Trident_(crater)	14	4	273
0	SemSearch_LS-3	West_(lunar_crater)	11	3	3383
0	SemSearch_LS-3	Man-made_structures_visible_from_space	46	6	55764
0	SemSearch_LS-3	Hasselblad	99	170	99288
0	SemSearch_LS-3	Valeri_Kubasov	91	46	9168
0	SemSearch_LS-3	List_of_astronauts_educated_at_the_United_States_Naval_Academy	151	3	4760
0	SemSearch_LS-3	Space_Exploration_Initiative	46	17	11650
0	SemSearch_LS-3	Cosmic_ray_visual_phenomena	24	8	26534
0	SemSearch_LS-3	Dave_Lister	99	119	21247
0	SemSearch_LS-3	Walter_Cunningham	98	58	23848
0	SemSearch_LS-3	Space_Exploration_Alliance	58	2	1094
0	SemSearch_LS-3	Ewen_Whitaker	21	12	1501
0	SemSearch_LS-3	Luna_21	37	28	12403
0	SemSearch_LS-3	Beyond_the_Stars	23	14	7937
0	SemSearch_LS-3	Apollo_15_postage_stamp_incident	29	9	36187
0	SemSearch_LS-3	Moonbase_Alpha_(Space:_1999)	50	87	10010
0	SemSearch_LS-3	Lunar_Receiving_Laboratory	31	18	6355
0	SemSearch_LS-3	Palmetto_(crater)	17	1	304
0	SemSearch_LS-3	For_All_Mankind	53	30	18585
0	SemSearch_LS-3	Surveyor_program	41	84	21809
0	SemSearch_LS-3	Shakespeare_(lunar_crater)	13	4	403
0	SemSearch_LS-3	Luna_23	26	22	6348
0	SemSearch_LS-3	Altair_(spacecraft)	57	43	22098
0	SemSearch_LS-3	Jumpers	26	42	8466
0	SemSearch_LS-3	Tranquility_Base	46	25	27154
0	SemSearch_LS-3	Cassini–Huygens	243	626	90289
0	SemSearch_LS-3	Moonlight_Mile_(manga)	50	50	12875
0	SemSearch_LS-3	Flag_(crater)	26	1	364
0	SemSearch_LS-3	Red_Ghost	88	40	17073
0	SemSearch_LS-3	List_of_astronauts_by_name	916	18	105864
0	SemSearch_LS-3	Rieskrater_Museum	21	3	1978
0	SemSearch_LS-3	Mackin_(crater)	14	4	298
0	SemSearch_LS-3	Apollo_program	350	1520	515450
0	SemSearch_LS-3	Powell_(crater)	14	4	491
0	SemSearch_LS-3	Gentry_Lee	24	25	8353
0	SemSearch_LS-3	Le_Tari	29	5	3590
0	SemSearch_LS-3	Extravehicular_activity	143	752	66571
0	SemSearch_LS-3	Norm_Foster_(playwright)	13	25	3351
0	SemSearch_LS-3	Genesis_(spacecraft)	78	61	29378
0	SemSearch_LS-3	Apollo_8	252	237	208085
0	SemSearch_LS-3	List_of_astronauts_educated_at_the_United_States_Military_Academy	63	3	2576
0	SemSearch_LS-3	William_R._Muehlberger	14	3	452
0	SemSearch_LS-3	Edward_Higgins_White	162	165	109007
0	SemSearch_LS-3	Landed_(album)	28	11	15138
0	SemSearch_LS-3	Played_in_Space:_The_Best_of_Something_Corporate	13	6	2972
0	SemSearch_LS-3	The_Astronaut_Monument	12	2	443
0	SemSearch_LS-3	Europa_(moon)	172	316	493212
0	SemSearch_LS-3	Rick_Husband	90	62	49777
0	SemSearch_LS-3	Harrison_Storms	46	10	6657
0	SemSearch_LS-3	Apollo_14	124	228	204296
0	SemSearch_LS-3	Buzz_Aldrin's_Race_Into_Space	71	20	6820
0	SemSearch_LS-3	Ralph_René	40	7	2230
0	SemSearch_LS-4	Belarusian_collaborationism_with_the_Axis_powers	54	4	1281
0	SemSearch_LS-4	Invasion_of_Yugoslavia	231	883	89490
0	SemSearch_LS-4	War_Times	26	2	1605
0	SemSearch_LS-4	List_of_Axis_war_crime_trials	37	0	3086
0	SemSearch_LS-4	3rd_Alpine_Group	7	1	348
0	SemSearch_LS-4	1st_Motorised_Brigade_(Hungary)	7	3	362
0	SemSearch_LS-4	42nd_Infantry_Division_Murska	9	2	228
0	SemSearch_LS-4	Russian_collaborationism_with_the_Axis_powers	36	6	4392
0	SemSearch_LS-4	First_Russian_National_Army	9	7	4949
0	SemSearch_LS-4	Axis_&_Allies:_Pacific	14	10	630
0	SemSearch_LS-4	Mario_Robotti	11	8	1737
0	SemSearch_LS-4	13th_Infantry_Brigade_(Hungary)	6	1	399
0	SemSearch_LS-4	End_of_World_War_II_in_Asia	84	20	30168
0	SemSearch_LS-4	Collaboration_with_the_Axis_Powers_during_World_War_II	512	400	64837
0	SemSearch_LS-4	History_of_Bosnia_and_Herzegovina_(1941–45)	38	4	1405
0	SemSearch_LS-4	Ukrainian_collaborationism_with_the_Axis_powers	73	20	27029
0	SemSearch_LS-4	Attacks_on_Australia_during_World_War_II	8	7	10217
0	SemSearch_LS-4	Franja_Partisan_Hospital	30	15	2896
0	SemSearch_LS-4	Battle_casualties_of_World_War_II	25	3	10363
0	SemSearch_LS-4	Germany_and_the_United_Nations	37	12	12100
0	SemSearch_LS-4	Mareșal_tank_destroyer	18	11	8030
0	SemSearch_LS-4	32nd_Infantry_Division_Triglavski	9	2	222
0	SemSearch_LS-4	Prelude_to_War	51	24	11673
0	SemSearch_LS-4	Battle_of_Poljana	47	20	14322
0	SemSearch_LS-4	Neutral_powers_during_World_War_II	81	19	66571
0	SemSearch_LS-4	Allied_Commission	67	233	8424
0	SemSearch_LS-4	Great_Famine_(Greece)	66	19	11396
0	SemSearch_LS-4	Giovanni_Vecchi	6	1	282
0	SemSearch_LS-4	London_Conference_on_Nazi_Gold	34	4	1312
0	SemSearch_LS-4	D-Day_(game)	18	13	2677
0	SemSearch_LS-4	Attack_on_Aruba	65	10	5650
0	SemSearch_LS-4	Riccardo_Balocco	6	1	321
0	SemSearch_LS-4	Jews_outside_Europe_under_Axis_occupation	39	16	2651
0	SemSearch_LS-4	Axis_occupation_of_Serbia	68	12	5618
0	SemSearch_LS-4	15th_Infantry_Brigade_(Hungary)	6	1	466
0	SemSearch_LS-4	The_Rome-Berlin_Axis	25	4	6666
0	SemSearch_LS-4	40th_Infantry_Division_Slavonska	9	2	941
0	SemSearch_LS-4	Allies	38	264	45250
0	SemSearch_LS-4	3rd_Territorial_Army_(Kingdom_of_Yugoslavia)	14	4	509
0	SemSearch_LS-4	Axis_Sally	10	16	16632
0	SemSearch_LS-4	27th_Infantry_Division_Savska	9	2	1003
0	SemSearch_LS-4	I_Corps_(Hungary)	6	3	571
0	SemSearch_LS-4	Military_history_of_South_Africa_during_World_War_II	47	19	29490
0	SemSearch_LS-4	IV_Corps_(Hungary)	7	6	556
0	SemSearch_LS-4	Axis_naval_activity_in_New_Zealand_waters	33	15	4574
0	SemSearch_LS-4	Taganrog_resistance_movement	35	4	549
0	SemSearch_LS-4	Foreign_relations_of_the_Axis_powers	366	7	6540
0	SemSearch_LS-4	9th_Infantry_Brigade_(Hungary)	6	1	327
2	SemSearch_LS-4	Axis_power_negotiations_on_the_division_of_Asia_during_World_War_II	46	8	16245
0	SemSearch_LS-4	Waffen_Grenadier_Regiment_of_the_SS_(1st_Bulgarian)	14	5	2754
0	SemSearch_LS-4	Leapfrogging_(strategy)	46	76	45738
0	SemSearch_LS-4	10th_Infantry_Brigade_(Hungary)	7	1	451
0	SemSearch_LS-4	Axis_occupation_of_Greece	273	434	61665
0	SemSearch_LS-4	12th_Infantry_Brigade_(Hungary)	7	1	243
0	SemSearch_LS-4	Belarusian_Home_Defence	68	25	1923
0	SemSearch_LS-4	Aufklärungsgruppe_11	7	13	237
0	SemSearch_LS-4	Red_Skies_Over_Europe	19	2	1085
0	SemSearch_LS-4	19th_Infantry_Brigade_(Hungary)	6	2	437
0	SemSearch_LS-4	2nd_Motorised_Brigade_(Hungary)	7	3	303
0	SemSearch_LS-4	Independent_State_of_Croatia_kuna	23	12	4277
0	SemSearch_LS-4	127th_SS-Standarte	11	2	1022
0	SemSearch_LS-4	RAF_Durrington	9	1	523
0	SemSearch_LS-4	MP_40	58	158	187396
0	SemSearch_LS-4	V_Corps_(Hungary)	7	5	440
0	SemSearch_LS-4	Home_Defence_Executive	9	3	770
0	SemSearch_LS-4	11th_Infantry_Brigade_(Hungary)	7	1	249
0	SemSearch_LS-4	14th_Infantry_Brigade_(Hungary)	7	1	254
0	SemSearch_LS-4	The_Darkest_Hour	23	7	11471
0	SemSearch_LS-4	Black_(code)	16	5	745
0	SemSearch_LS-4	1st_Cavalry_Brigade_(Hungary)	6	3	613
0	SemSearch_LS-4	U.S.–British_Staff_Conference_(ABC–1)	32	19	1740
0	SemSearch_LS-4	Historiography_of_World_War_II	22	6	4475
0	SemSearch_LS-4	Regional_power	47	79	69506
0	SemSearch_LS-4	Cruciada_împotriva_comunismului	41	7	497
0	SemSearch_LS-4	Hetalia:_Axis_Powers	141	200	267827
0	SemSearch_LS-4	1st_Parachute_Battalion_(Hungary)	6	2	523
0	SemSearch_LS-4	Gabriele_Nasci	7	9	1039
0	SemSearch_LS-4	2nd_Infantry_Brigade_(Hungary)	6	1	372
0	SemSearch_LS-4	2nd_Cavalry_Brigade_(Hungary)	7	2	365
0	SemSearch_LS-4	Operation_Barclay	24	9	5572
0	SemSearch_LS-4	Strategic_Command:_European_Theater	22	7	2591
0	SemSearch_LS-4	Expansion_operations_and_planning_of_the_Axis_Powers	215	10	7390
0	SemSearch_LS-4	Operation_Goldeneye	37	9	26664
0	SemSearch_LS-4	Francesco_De_Martini	20	6	1908
0	SemSearch_LS-4	Clash_of_Steel	23	5	3294
0	SemSearch_LS-4	World_War_II_political_cartoons	35	3	7597
0	SemSearch_LS-4	Giuseppe_Pafundi	6	2	409
2	SemSearch_LS-4	Axis_powers	748	2759	656012
0	SemSearch_LS-4	First_Battle_of_Târgu_Frumos_order_of_battle	28	1	252
0	SemSearch_LS-4	Slovakia_during_World_War_II	50	0	7953
0	SemSearch_LS-4	Siege_of_Odessa_(1941)	97	85	19864
0	SemSearch_LS-4	State-War-Navy_Coordinating_Committee	25	6	1027
0	SemSearch_LS-4	Axis_&_Allies_(1998_video_game)	37	11	4119
0	SemSearch_LS-4	Control_commission	9	12	681
0	SemSearch_LS-4	Committee_for_National_Morale	19	0	740
0	SemSearch_LS-4	Military_history_of_Finland_during_World_War_II	102	24	90293
0	SemSearch_LS-4	1st_Infantry_Brigade_(Hungary)	6	1	480
0	SemSearch_LS-4	Operation_Prijedor	25	3	1405
0	SemSearch_LS-4	Hello_Punjab	10	0	340
0	SemSearch_LS-4	Allied_bombing_of_Yugoslavia_in_World_War_II	19	3	2969
0	SemSearch_LS-5	William_of_Rennes	22	4	778
0	SemSearch_LS-5	Haftarah	188	193	22306
0	SemSearch_LS-5	Dead_Sea_Scrolls	438	625	410234
0	SemSearch_LS-5	Gospel	168	3506	223678
0	SemSearch_LS-5	Judaizers	191	147	30398
0	SemSearch_LS-5	Jerusalem_during_the_Second_Temple_Period	261	28	19065
0	SemSearch_LS-5	Book_of_Judith	187	218	96494
0	SemSearch_LS-5	People_of_the_Book	102	148	85964
0	SemSearch_LS-5	Josippon	105	53	6190
0	SemSearch_LS-5	Western_canon	118	213	126510
0	SemSearch_LS-5	Biblical_hermeneutics	103	103	44532
0	SemSearch_LS-5	Chronology_of_the_Bible	60	78	64013
0	SemSearch_LS-5	Christianity_and_Judaism	346	113	67376
0	SemSearch_LS-5	Non-canonical_books_referenced_in_the_Bible	79	62	118212
0	SemSearch_LS-5	Jesus_and_messianic_prophecy	146	49	31226
0	SemSearch_LS-5	Ludwig_Meidner	25	27	6230
0	SemSearch_LS-5	Harold_Bloom	195	438	168824
0	SemSearch_LS-5	Apocrypha	141	691	194746
